time,voltage,current,capacity_ah
0.0,3.9472209697256417,2.039139986038208,0.0
1.0,3.9472209697256417,2.0383691787719727,0.0005664705567889743
2.0,3.9472209697256417,2.039139986038208,0.0011330481436517504
3.0,3.9472209697256417,2.0406811237335205,0.0016997755832142295
4.0,3.9472209697256417,2.0383691787719727,0.0022662247485584677
5.0,3.9472209697256417,2.0383691787719727,0.002832673907279969
6.0,3.9472209697256417,2.039139986038208,0.0033992301026980094
7.0,3.9472209697256417,2.0383691787719727,0.00396557222472297
8.0,3.9472209697256417,2.0383691787719727,0.004531892942057718
9.0,3.9472209697256417,2.0375986099243164,0.005097742689980404
10.0,3.9472209697256417,2.035286664962769,0.005663399775822961
11.0,3.9472209697256417,2.035286664962769,0.006228799972269273
12.0,3.9472209697256417,2.0383691787719727,0.006794499860869517
13.0,3.9472209697256417,2.039910554885864,0.007360906196965117
14.0,3.9408781823939756,2.0429930686950684,0.007927997555997643
15.0,3.933576905709076,2.043763875961304,0.008495688325828985
15.999999999999996,3.9249580456350883,2.0429930686950684,0.009063250647650832
16.999999999999996,3.92112744115776,2.0429930686950684,0.009630770153469519
17.999999999999996,3.92091196965591,2.0429930686950684,0.010198353879981581
18.999999999999996,3.92091196965591,2.041451930999756,0.01076591619518069
19.999999999999996,3.92091196965591,2.043763875961304,0.011333671185705406
20.999999999999996,3.92091196965591,2.04453444480896,0.01190157602230709
21.999999999999996,3.92091196965591,2.046846389770508,0.012469759139749754
22.999999999999996,3.92091196965591,2.046075820922852,0.01303813491264981
23.999999999999996,3.92091196965591,2.049158334732056,0.013606960243648977
24.999999999999996,3.92091196965591,2.047616958618164,0.014175806979338356
25.999999999999996,3.92091196965591,2.043763875961304,0.014744118538167775
26.999999999999996,3.92091196965591,2.0429930686950684,0.015311488184664018
27.999999999999996,3.92091196965591,2.039910554885864,0.01587832267416851
28.999999999999996,3.92091196965591,2.039139986038208,0.016444964488347397
29.999999999999996,3.92091196965591,2.039910554885864,0.01701169193453261
31.0,3.92091196965591,2.0406811237335205,0.01757844078540804
32.0,3.92091196965591,2.039910554885864,0.018145082599586925
33.0,3.92091196965591,2.0406811237335205,0.018711638801627697
34.0,3.9199009696704628,2.0375986099243164,0.019278023746278558
35.0,3.909029869431076,2.0375986099243164,0.01984400194883347
36.0,3.900056006361018,2.035286664962769,0.020409787469440038
37.0,3.8947862624197644,2.0345158576965328,0.0209751662545734
38.0,3.891357186135282,2.0345158576965328,0.021540438009632963
39.0,3.888695207520096,2.0368278026580806,0.02210598805215624
40.0,3.8879685727329947,2.039139986038208,0.022672287364800772
41.0,3.88599094802957,2.041451930999756,0.02323912185430526
42.0,3.88599094802957,2.042222499847412,0.023806277447276626
43.0,3.88599094802957,2.0429930686950684,0.024373711314466244
44.0,3.88599094802957,2.043763875961304,0.024941402084297577
45.0,3.88599094802957,2.043763875961304,0.025509071449438696
46.0,3.88599094802957,2.043763875961304,0.026076676587263703
47.0,3.88599094802957,2.043763875961304,0.02664432453446914
48.0,3.88599094802957,2.043763875961304,0.02721197248829731
49.0,3.88599094802957,2.04453444480896,0.027779663258128643
50.0,3.88599094802957,2.043763875961304,0.02834752527872716
51.0,3.88599094802957,2.046075820922852,0.028915579968028553
52.0,3.88599094802957,2.046846389770508,0.02948384871747755
53.0,3.88599094802957,2.047616958618164,0.030052395747767524
54.0,3.88599094802957,2.0483877658843994,0.030621221065521214
55.0,3.88599094802957,2.045305013656616,0.031189853721194774
56.0,3.88599094802957,2.04453444480896,0.03175775855779646
57.0,3.88599094802957,2.043763875961304,0.03232519243823155
58.0,3.88599094802957,2.039910554885864,0.03289215536250005
59.0,3.88599094802957,2.0383691787719727,0.033458818574746405
60.0,3.88599094802957,2.039139986038208,0.0340252677334679
61.0,3.88599094802957,2.039910554885864,0.034591823928885934
62.0,3.88599094802957,2.0383691787719727,0.03515842293368439
63.0,3.88599094802957,2.0375986099243164,0.0357247864670223
64.0,3.88599094802957,2.0383691787719727,0.03629134266244035
65.0,3.88599094802957,2.039910554885864,0.03685779181453914
66.0,3.88599094802957,2.0383691787719727,0.03742417675256727
67.0,3.88599094802957,2.039910554885864,0.037990647315979
68.0,3.88599094802957,2.0375986099243164,0.03855683958530427
69.0,3.88599094802957,2.0368278026580806,0.03912288200192984
70.0,3.88599094802957,2.0368278026580806,0.03968849625852377
71.0,3.88599094802957,2.0345158576965328,0.04025387504365713
72.0,3.88599094802957,2.035286664962769,0.040819189614719836
73.0,3.88599094802957,2.0383691787719727,0.04138503936264253
74.0,3.88599094802957,2.039910554885864,0.041951360073354566
75.0,3.88599094802957,2.042222499847412,0.042518194549613586
76.0,3.88599094802957,2.0429930686950684,0.043085392951965396
77.0,3.88599094802957,2.043763875961304,0.043652912457784084
78.0,3.88599094802957,2.0429930686950684,0.04422049618429614
79.0,3.88599094802957,2.042222499847412,0.04478786583741512
80.0,3.88599094802957,2.04453444480896,0.04535553519593351
81.0,3.88599094802957,2.0429930686950684,0.04592299047443607
82.0,3.88599094802957,2.0429930686950684,0.0464904671642516
83.0,3.88599094802957,2.043763875961304,0.04705813651614724
84.0,3.88599094802957,2.043763875961304,0.0476259129179849
85.0,3.88599094802957,2.046846389770508,0.048193988998731015
86.0,3.88599094802957,2.046075820922852,0.048762386182944
87.0,3.88599094802957,2.045305013656616,0.04933080477846993
88.0,3.88599094802957,2.046846389770508,0.04989943743414347
89.0,3.88599094802957,2.046846389770508,0.05046809150112996
90.0,3.88599094802957,2.046846389770508,0.05103678838411961
91.0,3.88599094802957,2.046846389770508,0.051605335427655045
92.0,3.88599094802957,2.043763875961304,0.052173261668946945
93.0,3.88599094802957,2.042222499847412,0.052740823984146055
94.0,3.88599094802957,2.041451930999756,0.053307958165804484
95.0,3.88599094802957,2.0383691787719727,0.05387464279598655
96.0,3.88599094802957,2.0375986099243164,0.054440920697318144
97.0,3.88599094802957,2.039910554885864,0.055007391260729885
98.0,3.88599094802957,2.0383691787719727,0.05557386181751888
99.0,3.88599094802957,2.039910554885864,0.05614035379224356
100.0,3.88599094802957,2.039910554885864,0.056706824355655286
101.0,3.88599094802957,2.039910554885864,0.05727310225036415
102.0,3.88599094802957,2.039139986038208,0.057839422974321646
103.0,3.88599094802957,2.0375986099243164,0.05840546538432448
104.0,3.88599094802957,2.036057233810425,0.0589712080889279
105.0,3.88599094802957,2.0368278026580806,0.05953686516814772
106.0,3.88599094802957,2.0368278026580806,0.06010258646143819
107.0,3.88599094802957,2.035286664962769,0.060668029480510394
108.0,3.88599094802957,2.035286664962769,0.061233322653505624
109.0,3.880048692745923,2.035286664962769,0.06179874426788761
