model,train_RMSE,train_R2,train_ACC3,test_RMSE,test_MAE,test_R2,test_ACC3
1D-CNN (Evan),1.82,0.9694,0.875,0.3901,0.3162,0.9974,0.9621
PINN (Donghyun),0.5988,0.9967,0.9861,0.5608,0.4658,0.9947,0.9545
PI-1D-CNN (Evan),2.1816,0.9561,0.8492,1.8426,1.5932,0.943,0.7576
SVM (Semin),0.6057,0.9966,0.994,5.5418,4.9657,0.484,0.6439
MLP (Evan),10.511,-0.0194,0.3472,7.72,6.933,-0.0013,0.3561
