model,train_R2,test_R2,test_RMSE,test_MAE,cycle_R2,cycle_RMSE
PINN-seg,0.8971,0.8836,2.6322,1.9519,0.921,2.1684
PI-1D-CNN-seg,0.2915,0.2515,6.6745,5.3515,0.6383,4.64
