model,train_RMSE,train_R2,test_RMSE,test_MAE,test_R2,test_ACC3
PINN,1.3596,0.9817,2.6207,2.1923,0.8819,0.7538
PI-1D-CNN,3.5739,0.8735,7.7902,6.9885,-0.0436,0.4769
1D-CNN,2.0392,0.9588,11.2845,10.4486,-1.1897,0.4846
