timestamp,sec,Ipack,Vcell1,Vcell2
2026-07-17 19:13:44.906,14.035,2.0429930686950684,3.9900698280334472,3.9829499969482414
2026-07-17 19:13:45.006,14.135,2.0429930686950684,3.8970250701904297,4.0449798355102535
2026-07-17 19:13:45.106,14.235,2.042222499847412,4.021084747314453,4.0449798355102535
2026-07-17 19:13:45.206,14.335,2.041451930999756,4.083115062713623,4.0449798355102535
2026-07-17 19:13:45.306,14.435,2.041451930999756,4.052100143432617,3.9519350776672364
2026-07-17 19:13:45.406,14.535,2.042222499847412,3.9280399894714364,3.9209199199676514
2026-07-17 19:13:45.506,14.635,2.042222499847412,3.9280399894714364,4.013964916229248
2026-07-17 19:13:45.606,14.735,2.0406811237335205,3.9900698280334472,4.013964916229248
2026-07-17 19:13:45.706,14.835,2.041451930999756,4.052100143432617,3.9519350776672364
2026-07-17 19:13:45.806,14.935,2.039910554885864,3.9590549087524414,3.9829499969482414
2026-07-17 19:13:45.906,15.035,2.0406811237335205,3.8970250701904297,3.9829499969482414
2026-07-17 19:13:46.006,15.135,2.042222499847412,3.9900698280334472,3.9209199199676514
2026-07-17 19:13:46.106,15.235,2.039910554885864,3.9280399894714364,3.9209199199676514
2026-07-17 19:13:46.206,15.335,2.0406811237335205,3.9590549087524414,4.0449798355102535
2026-07-17 19:13:46.306,15.435,2.0406811237335205,3.8970250701904297,3.9829499969482414
2026-07-17 19:13:46.406,15.535,2.039910554885864,3.9590549087524414,3.9519350776672364
2026-07-17 19:13:46.506,15.635,2.039910554885864,3.9590549087524414,4.013964916229248
2026-07-17 19:13:46.606,15.735,2.039910554885864,3.866010150909424,3.9519350776672364
2026-07-17 19:13:46.706,15.835,2.0406811237335205,3.9590549087524414,4.075994754791259
2026-07-17 19:13:46.806,15.935,2.0406811237335205,3.9280399894714364,3.9829499969482414
2026-07-17 19:13:46.906,16.035,2.039139986038208,4.052100143432617,4.075994754791259
2026-07-17 19:13:47.006,16.135,2.0406811237335205,3.9590549087524414,4.0449798355102535
2026-07-17 19:13:47.106,16.235,2.0383691787719727,3.9900698280334472,4.013964916229248
2026-07-17 19:13:47.206,16.335,2.039910554885864,4.021084747314453,4.075994754791259
2026-07-17 19:13:47.306,16.435,2.039139986038208,3.9590549087524414,4.013964916229248
2026-07-17 19:13:47.406,16.535,2.0383691787719727,4.021084747314453,4.0449798355102535
2026-07-17 19:13:47.506,16.635,2.039910554885864,3.9900698280334472,3.9519350776672364
2026-07-17 19:13:47.606,16.735,2.039139986038208,3.8970250701904297,3.9829499969482414
2026-07-17 19:13:47.706,16.835,2.0383691787719727,4.052100143432617,3.9209199199676514
2026-07-17 19:13:47.806,16.935,2.0406811237335205,3.9900698280334472,3.9829499969482414
2026-07-17 19:13:47.906,17.035,2.0383691787719727,3.9280399894714364,4.013964916229248
2026-07-17 19:13:48.006,17.135,2.0383691787719727,3.8970250701904297,4.013964916229248
2026-07-17 19:13:48.106,17.235,2.0406811237335205,3.9900698280334472,4.0449798355102535
2026-07-17 19:13:48.206,17.335,2.0406811237335205,3.9280399894714364,4.013964916229248
2026-07-17 19:13:48.306,17.435,2.0383691787719727,3.9590549087524414,3.9829499969482414
2026-07-17 19:13:48.406,17.535,2.0383691787719727,3.9280399894714364,4.013964916229248
2026-07-17 19:13:48.506,17.635,2.0406811237335205,3.9280399894714364,3.9829499969482414
2026-07-17 19:13:48.606,17.735,2.0406811237335205,3.9900698280334472,4.013964916229248
2026-07-17 19:13:48.706,17.835,2.039139986038208,4.021084747314453,3.9209199199676514
2026-07-17 19:13:48.806,17.935,2.0406811237335205,3.8970250701904297,3.9829499969482414
2026-07-17 19:13:48.906,18.035,2.039139986038208,3.8970250701904297,3.9519350776672364
2026-07-17 19:13:49.006,18.135,2.0406811237335205,3.9590549087524414,3.9829499969482414
2026-07-17 19:13:49.106,18.235,2.0406811237335205,4.021084747314453,3.9209199199676514
2026-07-17 19:13:49.206,18.335,2.039910554885864,3.9590549087524414,3.9829499969482414
2026-07-17 19:13:49.306,18.435,2.039139986038208,4.052100143432617,4.075994754791259
2026-07-17 19:13:49.406,18.535,2.0406811237335205,3.9280399894714364,3.8899050006866456
2026-07-17 19:13:49.506,18.635,2.039910554885864,4.052100143432617,4.0449798355102535
2026-07-17 19:13:49.606,18.735,2.0406811237335205,4.021084747314453,4.075994754791259
2026-07-17 19:13:49.706,18.835,2.0406811237335205,3.9280399894714364,3.9519350776672364
2026-07-17 19:13:49.806,18.935,2.039139986038208,3.8970250701904297,3.9829499969482414
2026-07-17 19:13:49.906,19.035,2.0406811237335205,3.9900698280334472,3.9519350776672364
2026-07-17 19:13:50.006,19.135,2.039139986038208,3.9590549087524414,3.9209199199676514
2026-07-17 19:13:50.106,19.235,2.039139986038208,4.021084747314453,3.9829499969482414
2026-07-17 19:13:50.206,19.335,2.039139986038208,3.9280399894714364,3.9209199199676514
2026-07-17 19:13:50.306,19.435,2.039139986038208,3.9900698280334472,3.9829499969482414
2026-07-17 19:13:50.406,19.535,2.039139986038208,3.9280399894714364,3.9519350776672364
2026-07-17 19:13:50.506,19.635,2.039910554885864,3.9280399894714364,4.0449798355102535
2026-07-17 19:13:50.606,19.735,2.039139986038208,3.8349947547912597,3.8899050006866456
2026-07-17 19:13:50.706,19.835,2.0406811237335205,3.9900698280334472,4.013964916229248
2026-07-17 19:13:50.806,19.935,2.0383691787719727,4.083115062713623,3.9519350776672364
2026-07-17 19:13:50.906,20.035,2.0383691787719727,4.021084747314453,3.9829499969482414
2026-07-17 19:13:51.006,20.135,2.039910554885864,4.021084747314453,4.013964916229248
2026-07-17 19:13:51.106,20.235,2.039910554885864,3.9280399894714364,4.013964916229248
2026-07-17 19:13:51.206,20.335,2.0383691787719727,4.021084747314453,4.0449798355102535
2026-07-17 19:13:51.306,20.435,2.039910554885864,3.9590549087524414,4.0449798355102535
2026-07-17 19:13:51.406,20.535,2.039139986038208,3.9280399894714364,4.013964916229248
2026-07-17 19:13:51.506,20.635,2.039139986038208,3.866010150909424,3.9829499969482414
2026-07-17 19:13:51.606,20.735,2.039139986038208,4.021084747314453,3.9829499969482414
2026-07-17 19:13:51.706,20.835,2.039910554885864,3.9280399894714364,3.9829499969482414
2026-07-17 19:13:51.806,20.935,2.0383691787719727,4.021084747314453,3.8899050006866456
2026-07-17 19:13:51.906,21.035,2.0383691787719727,3.9280399894714364,3.8899050006866456
